id,code,name,user_type_id/id,chart_template_id/id,reconcile
6100,6100,Auditoría Contable y Financiera,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6101,6101,Asesoría Jurídica y Legal,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6102,6102,Reclutamiento y Contratación,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6103,6103,Honorarios Profesionales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6109,6109,Otros Gastos Por Honorarios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6110,6110,Personal Subcontratado,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6119,6119,Otros Gastos de Tercerización de Personal,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6200,6200,Arrendamiento de Terrenos y Bienes Naturales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6201,6201,Arrendamiento de Edificios e Instalaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6202,6202,Arrendamiento de Mobiliario y Accesorios,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6203,6203,Arrendamiento Equipos y Herramientas,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6203,6204,Arrendamiento de Maquinaria y Vehículos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6209,6209,Otros Gastos por Alquileres y Arrendamientos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6210,6210,Servicio de Agua,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6211,6211,Servicio de Energía Eléctrica,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6212,6212,Servicio de Extracción de Basura y Reciclaje,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6213,6213,Servicio de Limpieza e Higienización,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6215,6215,Servicio de Mensajería,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6219,6219,Otros Gastos por Servicios Generales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6220,6220,Servicio de Reparación y Mantenimiento de Edificios e Instalaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6221,6221,Servicio de Reparación y Mantenimiento de Mobiliario,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6222,6222,Servicio de Reparación y Mantenimiento de Equipos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6223,6223,Servicio de Reparación y Mantenimiento de Maquinaria y Vehículos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6229,6229,Otros Servicios de Reparación y Mantenimiento,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6230,6230,Servicio de Cable e Internet,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6231,6231,Servicio de Comunicaciones Fijas,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6232,6232,Servicio de Comunicaciones Móviles,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6233,6233,Servicios en la Nube,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6234,6234,Servicios de Software (SAAS),account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6239,6239,Otros Gastos de Tecnología y Comunicaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6240,6240,Servicio de Seguridad Privada,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6241,6241,Servicio de Alarma y Monitoreo,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6249,6249,Otros Gastos de Seguridad y Vigilancia,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6250,6250,Suministros y Consumibles de Oficina,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6251,6251,Suministros y Consumibles de Limpieza e Higienización,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6252,6252,Suministros y Consumibles de Reparación y Mantenimiento,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6259,6259,Otros Gastos por Suministros y Consumibles,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6260,6260,Servicios Legales y Notariales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6261,6261,Servicios Contables,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6269,6269,Otros Servicios Profesionales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6270,6270,Combustibles y Lubricantes,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6300,6300,Gastos de Representación,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6301,6301,Gastos de Viaje por Representación,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6309,6309,Otros Gastos de Representación,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6310,6310,Afiliación a Cámaras y Asociaciones Empresariales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6319,6319,Otros Gastos por Afiliaciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6400,6400,Publicidad en Medios Digitales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6401,6401,Publicidad en Medios Tradicionales,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6402,6402,Servicios de Agencia Publicitaria,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6403,6403,Rotulación e Imagen de Marca,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6404,6404,Producción y Diseño Digital,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6405,6405,Promocionales y Material Publicitario,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6408,6408,Descuentos por Ofertas y Promociones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6409,6409,Otros Gastos de Publicidad y Mercadeo,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6509,6509,Otras Donaciones y Contribuciones,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6600,6600,Seguros de Inmueble,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
6601,6601,Seguros de Maquinaria y Vehículos,account.data_account_type_expenses,l10n_gt_coa.gt_coa_template,False
